player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Antonio Hamilton Sr.,11353,CB,ATL,2,0,0,2,0,0,0,0,2
Myles Garrett,11756,ED,CLV,17,6,3,8,13,0,0,14,23
Solomon Thomas,11758,DI,NYJ,16,7,1,22,2,0,1,4,17
Jamal Adams,11761,S,DET,5,2,0,11,0,0,0,0,4
Marshon Lattimore,11766,CB,WAS,9,5,0,32,0,0,5,0,29
Haason Reddick,11768,ED,NYJ,10,2,1,22,3,0,0,3,11
Derek Barnett,11769,ED,HST,16,3,2,13,3,0,0,5,14
Malik Hooker,11770,S,DAL,17,17,0,9,1,2,3,0,61
Marlon Humphrey,11771,CB,BLT,16,10,2,3,3,6,10,1,55
Jonathan Allen,11772,DI,WAS,8,2,0,32,4,0,0,3,16
Adoree' Jackson,11773,CB,NYG,14,2,1,21,0,0,5,0,24
Charles Harris,11777,ED,PHI,12,6,0,24,4,0,0,3,16
Jabrill Peppers,11780,S,NE,6,11,1,19,0,1,1,0,27
Takk McKinley,11781,ED,NYJ,7,3,0,22,1,0,0,1,5
Tre'Davious White,11782,CB,BLT,11,3,0,3,0,0,4,0,18
T.J. Watt,11785,ED,PIT,17,13,6,25,17,0,0,12,35
Kevin King,11788,CB,ATL,13,1,0,2,0,0,1,0,6
Budda Baker,11791,S,ARZ,17,39,1,1,1,0,4,2,122
Marcus Maye,11794,S,LAC,12,9,0,27,1,1,1,0,30
Marcus Williams,11797,S,BLT,11,3,0,3,0,0,1,0,28
Tyus Bowser,11802,ED,MIA,9,5,0,17,0,0,0,0,6
DeMarcus Walker,11806,ED,CHI,17,16,0,6,12,0,0,4,27
Raekwon McMillan,11809,LB,TEN,8,13,0,31,0,0,0,0,29
Dalvin Tomlinson,11810,DI,CLV,16,9,0,8,11,0,0,4,16
Zach Cunningham,11812,LB,DEN,3,2,0,10,0,0,0,0,2
Tanoh Kpassagnon,11814,DI,NO,3,1,0,20,1,0,0,0,1
Chidobe Awuzie,11815,CB,TEN,8,5,1,31,0,1,1,0,19
Larry Ogunjobi,11820,DI,PIT,15,16,0,25,4,0,0,2,22
