player,player_id,position,team_name,player_game_count,attempts,completion_percent,completions,first_downs,franchise_id,interceptions,qb_rating,sacks,touchdowns,yards,ypa
Noah Kim,129623,QB,MICH STATE,4,19,73.7,14,9,223,0,141.2,0,3,174,9.2
Tyhier Tyler,82083,QB,ARMY,10,19,42.1,8,10,114,1,102.4,3,2,301,15.8
Logan Smothers,129713,QB,NEBRASKA,3,19,52.6,10,5,238,0,67.0,4,0,96,5.1
Wiley Green,75891,QB,RICE,2,18,66.7,12,6,275,1,56.5,1,0,95,5.3
Desmond Trotter,83552,QB,S ALABAMA,4,18,77.8,14,9,288,0,96.1,1,0,127,7.1
Jackson Stratton,157206,QB,COLO STATE,3,17,23.5,4,4,144,2,26.2,0,1,78,4.6
Kyle Crum,158784,QB,S DIEGO ST,2,17,29.4,5,3,284,1,35.2,4,1,53,3.1
Ty Keyes,145417,QB,SO MISS,2,17,58.8,10,6,296,2,103.2,0,3,272,16.0
Luke Altmyer,146802,QB,OLE MISS,3,17,47.1,8,7,226,1,86.6,1,2,125,7.4
Dylan Morris,100570,QB,WASHINGTON,4,16,56.3,9,9,340,1,80.7,1,1,142,8.9
Trexler Ivey,122184,QB,CHARLOTTE,1,16,56.3,9,7,136,0,96.1,1,1,101,6.3
Justin Ibieta,123220,QB,TULANE,3,16,81.3,13,7,319,0,102.6,0,0,138,8.6
Maasai Maynor,101057,QB,NAVY,3,15,46.7,7,6,237,0,99.9,1,1,132,8.8
Levi Williams,98365,QB,UTAH ST,3,15,26.7,4,3,329,0,39.6,0,0,27,1.8
