player,player_id,position,team_name,player_game_count,caught_percent,first_downs,franchise_id,fumbles,longest,receptions,targets,touchdowns,yards,yards_per_reception
James Proche II,48037,WR,TEN,3,57.1,3,31,0,12,4,7,0,43,10.8
Alex Bachman,47996,WR,LV,3,57.1,3,23,0,33,4,7,0,51,12.8
Cornelius Johnson,97996,WR,GB,3,85.7,4,12,0,18,6,7,0,50,8.3
Malik Washington,97108,WR,MIA,2,100.0,4,17,0,25,7,7,1,59,8.4
Beaux Collins,144112,WR,NYG,2,14.3,1,21,0,80,1,7,0,80,80.0
Antwane Wells Jr.,138470,WR,NYG,3,57.1,2,21,0,11,4,7,0,24,6.0
Jerjuan Newton,97308,WR,DEN,3,71.4,2,10,0,13,5,7,0,26,5.2
Jordan Moore,143865,WR,CIN,3,57.1,1,7,0,9,4,7,0,15,3.8
Johnny Wilson,76366,WR,PHI,2,50.0,3,24,0,28,3,6,0,73,24.3
Joshua Cephus,98095,WR,JAX,2,83.3,1,15,0,18,5,6,0,39,7.8
Damien Martinez,162437,HB,SEA,3,100.0,1,29,0,13,6,6,0,43,7.2
Courtney Jackson,99703,WR,DEN,3,83.3,3,10,1,20,5,6,0,61,12.2
Jamoi Mayes,129394,WR,CIN,3,16.7,1,7,0,48,1,6,0,48,48.0
Irv Smith Jr.,42060,TE,HST,2,100.0,2,13,0,22,6,6,0,52,8.7
Luke McCaffrey,101634,WR,WAS,3,100.0,1,32,0,11,6,6,0,22,3.7
Zach Davidson,143780,TE,BUF,3,50.0,2,4,0,20,3,6,0,32,10.7
Luke Lachey,129475,TE,HST,3,83.3,1,13,0,9,5,6,0,21,4.2
A.J. Henning,129580,WR,MIA,3,50.0,2,17,0,18,3,6,0,34,11.3
Roman Wilson,129604,WR,PIT,3,66.7,3,25,0,42,4,6,0,96,24.0
JP Richardson,144650,WR,CHI,2,66.7,2,6,0,15,4,6,0,28,7.0
Dareke Young,111900,WR,SEA,3,66.7,4,29,0,31,4,6,0,83,20.8
Xavier Restrepo,122220,WR,TEN,3,50.0,2,31,0,13,3,6,0,26,8.7
Tyler Warren,129798,TE,IND,2,66.7,3,14,0,25,4,6,0,65,16.3
Chimere Dike,129918,WR,TEN,3,33.3,0,31,0,6,2,6,0,7,3.5
Mark Redman,131911,TE,LA,3,83.3,3,26,0,15,5,6,0,41,8.2
Zach Pascal,12303,WR,NYG,3,83.3,4,21,0,18,5,6,0,57,11.4
Tetairoa McMillan,158735,WR,CAR,2,33.3,2,5,0,30,2,6,0,43,21.5
Jordan Watkins,122730,WR,SF,1,50.0,1,28,0,50,3,6,0,56,18.7
Van Jefferson,47447,WR,TEN,3,50.0,3,31,0,65,3,6,1,102,34.0
Hunter Renfrow,47509,WR,CAR,2,66.7,1,5,0,7,4,6,0,12,3.0
Nyheim Miller-Hines,48103,HB,LAC,4,50.0,1,27,0,6,3,6,0,13,4.3
Marshall Lang,52369,TE,SEA,3,50.0,1,29,0,14,3,6,0,20,6.7
Jordan Mims,57209,HB,TEN,3,100.0,2,31,0,11,6,6,0,33,5.5
Michael Carter,57337,HB,ARZ,3,100.0,1,1,0,10,6,6,0,13,2.2
Owen Wright,57486,HB,TB,3,66.7,2,30,0,6,4,6,0,12,3.0
Luther Burden III,157170,WR,CHI,3,83.3,5,6,0,22,5,6,0,78,15.6
Tahj Brooks,123133,HB,CIN,2,66.7,0,7,0,6,4,6,0,12,3.0
Brashard Smith,143951,HB,KC,3,66.7,2,16,0,12,4,6,0,22,5.5
