player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Robert Spillane,50918,LB,NE,2,1,0,19,0,0,0,0,0
Bobby Okereke,50954,LB,NYG,2,0,0,21,0,0,0,0,2
Frankie Luvu,51028,LB,WAS,1,1,0,32,0,0,0,0,1
Tyrel Dodson,51045,LB,MIA,2,1,0,17,0,0,0,0,1
Julian Love,51081,S,SEA,1,0,0,29,0,0,0,0,2
Marcelino McCrary-Ball,51112,LB,NYJ,2,1,0,22,0,0,0,0,2
P.J. Locke,51189,S,DEN,3,1,0,10,0,0,0,0,5
Minkah Fitzpatrick,51206,S,MIA,2,0,0,17,0,0,0,0,0
Mike Edwards,51282,S,KC,2,4,0,16,0,0,0,0,2
Kristian Welch,51283,LB,GB,3,4,0,12,0,0,1,0,10
Terrell Edmunds,51334,S,LV,2,1,0,23,0,0,0,0,4
Will Harris,51336,S,WAS,1,0,0,32,0,0,1,0,0
Amani Hooker,51378,S,TEN,3,1,0,31,0,0,0,0,1
Marcus Epps,51391,S,NE,3,1,0,19,0,0,0,0,4
Jaylinn Hawkins,51423,S,NE,2,0,0,19,0,0,0,0,2
Khyiris Tonga,52000,DI,NE,2,0,0,19,0,0,0,0,1
Claudin Cherelus,52094,LB,CAR,1,0,0,5,0,0,0,0,2
Isaiah Dunn,52129,CB,GB,1,0,0,12,0,0,0,0,1
Kaleb Hayes,52137,S,CHI,2,0,0,6,0,0,0,0,3
Paulson Adebo,52280,CB,NYG,2,1,0,21,0,0,1,0,3
Ivan Pace Jr.,53587,LB,MIN,1,0,0,18,0,0,0,0,2
Carrington Valentine,53750,CB,GB,2,0,0,12,0,0,0,0,1
C.J. Brewer,54409,DI,TB,3,2,0,30,0,0,0,0,3
Benton Whitley,54444,ED,ARZ,3,1,0,1,0,0,0,0,3
Malcolm Koonce,55015,ED,LV,3,1,0,23,0,0,0,1,1
Darrick Forrest,55087,S,BUF,3,1,0,4,0,0,0,0,4
Coby Bryant,55088,S,SEA,1,0,0,29,0,0,0,0,2
Boye Mafe,55220,ED,SEA,1,0,0,29,0,0,0,0,1
Esezi Otomewo,55221,DI,PIT,3,0,0,25,0,0,0,0,4
Mark Robinson,55265,LB,PIT,3,2,1,25,0,0,0,0,6
Tycen Anderson,55351,S,CIN,2,3,0,7,0,1,0,0,4
Kalia Davis,55389,DI,SF,2,0,0,28,0,0,0,1,3
Ja'Sir Taylor,55426,CB,LAC,4,3,0,27,0,0,0,0,13
Azizi Hearn,55569,CB,KC,3,0,0,16,0,0,0,0,3
Harrison Hand,55576,CB,LAC,1,0,0,27,0,0,0,0,4
Elijah Hicks,55584,S,CHI,1,0,0,6,0,0,0,0,1
Josh Blackwell,55589,CB,CHI,1,0,0,6,0,0,2,0,2
Marco Wilson,55592,CB,CIN,2,0,0,7,0,0,1,0,0
CJ Henderson,55593,CB,ATL,1,0,0,2,0,0,0,0,1
Russ Yeast,55629,S,HST,3,3,0,13,0,0,0,0,7
Jeff Okudah,55674,CB,MIN,1,1,0,18,0,0,0,0,0
