team,season,role,name,source
DEN,2008,dc,Bob Slowik,pfr-derived (jchernak96/NFL_Coordinator_Data)
DEN,2009,oc,Mike McCoy,pfr-derived (jchernak96/NFL_Coordinator_Data)
DEN,2009,dc,Mike Nolan,pfr-derived (jchernak96/NFL_Coordinator_Data)
DEN,2010,oc,Mike McCoy,pfr-derived (jchernak96/NFL_Coordinator_Data)
DEN,2010,dc,Don Martindale,pfr-derived (jchernak96/NFL_Coordinator_Data)
DEN,2011,oc,Mike McCoy,pfr-derived (jchernak96/NFL_Coordinator_Data)
DEN,2011,dc,Dennis Allen,pfr-derived (jchernak96/NFL_Coordinator_Data)
DEN,2012,oc,Mike McCoy,pfr-derived (jchernak96/NFL_Coordinator_Data)
DEN,2012,dc,Jack Del Rio,pfr-derived (jchernak96/NFL_Coordinator_Data)
DEN,2013,oc,Adam Gase,pfr-derived (jchernak96/NFL_Coordinator_Data)
DEN,2013,dc,Jack Del Rio,pfr-derived (jchernak96/NFL_Coordinator_Data)
DEN,2014,oc,Adam Gase,pfr-derived (jchernak96/NFL_Coordinator_Data)
