team,ret_share,portal_out_share,gone_share,portal_in_yds,qb_ret
UCF Knights,0.06686127328329163,0.508479288295802,0.4246594384209063,6114.0,0.0
UCLA Bruins,0.4749208465255791,0.18463589401766373,0.3404432594567572,3311.0,1.0
UConn Huskies,0.03036373220875066,0.33779652082235107,0.6318397469688982,3315.0,0.0
UL Monroe Warhawks,0.4531925938743727,0.2915729364942031,0.2552344696314241,174.0,1.0
UNLV Rebels,0.2364511832804016,0.4732097121196599,0.29033910459993856,2028.0,0.0
USC Trojans,0.6225881402161835,0.06738054348924134,0.3100313162945752,639.0,1.0
UT Martin Skyhawks,0.0,0.015317286652078774,0.9846827133479212,0.0,0.0
UTEP Miners,0.058689372054128025,0.7436521210278242,0.19765850691804773,860.0,0.0
UTSA Roadrunners,0.5939051137019509,0.12743853168648275,0.27865635461156646,115.0,1.0
Utah State Aggies,0.6558548009367682,0.10971896955503513,0.23442622950819672,61.0,1.0
Utah Utes,0.7190455245216626,0.04739388607873323,0.23356058939960414,2713.0,1.0
VMI Keydets,0.10513447432762836,0.44987775061124696,0.4449877750611247,0.0,0.0
Vanderbilt Commodores,0.24841155974584955,0.10483705677392909,0.6467513834802213,415.0,0.0
Villanova Wildcats,0.0,0.26181818181818184,0.7381818181818182,0.0,0.0
Virginia Cavaliers,0.09393346379647749,0.14176994998912806,0.7642965862143944,7319.0,0.0
Virginia Tech Hokies,0.32842582106455265,0.06940624494418379,0.6021679339912636,3700.0,0.0
Wagner Seahawks,0.0,0.0,1.0,0.0,0.0
Wake Forest Demon Deacons,0.1730816077953715,0.2510353227771011,0.5758830694275274,3519.0,0.0
Washington Huskies,0.5979781356529916,0.11743270248031033,0.284589161866698,1772.0,1.0
Washington State Cougars,0.2676470588235294,0.11932773109243698,0.6130252100840337,501.0,0.0
Weber State Wildcats,0.0,0.42038216560509556,0.5796178343949044,0.0,0.0
West Virginia Mountaineers,0.2479492338647268,0.35845844296548524,0.393592323169788,3309.0,1.0
Western Carolina Catamounts,0.0,0.22624434389140272,0.7737556561085973,0.0,0.0
Western Illinois Leathernecks,0.0,0.12244897959183673,0.8775510204081632,0.0,0.0
Western Kentucky Hilltoppers,0.35762039660056655,0.1380169971671388,0.5043626062322946,1384.0,0.0
Western Michigan Broncos,0.7222799465637524,0.02078076295086834,0.2569392904853792,18.0,1.0
William & Mary Tribe,0.0,0.23554603854389722,0.7644539614561028,0.0,0.0
Wisconsin Badgers,0.36927685066324345,0.168806161745828,0.46191698759092853,5583.0,0.0
Wofford Terriers,0.0,0.0,1.0,0.0,0.0
Wyoming Cowboys,0.2784661754855995,0.4681848626925653,0.25334896182183525,666.0,0.0
Youngstown State Penguins,0.7385281385281385,0.0,0.26147186147186147,41.0,1.0
